id_municipio,municipio,uf,regiao,grupo,ano_implementacao,first_treat,ano,populacao,tratado,pos_tratamento,tratamento_ativo,feminicidios,notificacoes,viol_fisica,viol_sexual,viol_psicologica,viol_parceiro,taxa_feminicidios,taxa_notificacoes,taxa_viol_fisica,taxa_viol_sexual,taxa_viol_psicologica,taxa_viol_parceiro
1100023,Ariquemes,TO,Norte,24h,2017.0,2017,2009,85541,1,0,0,11,10,8,1,0,0,12.8593,11.6903,9.3522,1.169,0.0,0.0
1100023,Ariquemes,TO,Norte,24h,2017.0,2017,2010,88556,1,0,0,0,39,36,3,2,4,0.0,44.0399,40.6522,3.3877,2.2585,4.5169
1100023,Ariquemes,TO,Norte,24h,2017.0,2017,2011,91570,1,0,0,1,55,53,1,2,23,1.0921,60.0633,57.8792,1.0921,2.1841,25.1174
1100023,Ariquemes,TO,Norte,24h,2017.0,2017,2012,92747,1,0,0,1,34,31,4,0,22,1.0782,36.6589,33.4243,4.3128,0.0,23.7204
1100023,Ariquemes,TO,Norte,24h,2017.0,2017,2013,101269,1,0,0,2,19,16,3,4,9,1.9749,18.7619,15.7995,2.9624,3.9499,8.8872
1100023,Ariquemes,TO,Norte,24h,2017.0,2017,2014,102860,1,0,0,4,29,21,18,16,6,3.8888,28.1937,20.4161,17.4995,15.5551,5.8332
1100023,Ariquemes,TO,Norte,24h,2017.0,2017,2015,104401,1,0,0,7,46,20,20,9,18,6.7049,44.0609,19.1569,19.1569,8.6206,17.2412
1100023,Ariquemes,TO,Norte,24h,2017.0,2017,2016,105896,1,0,0,5,32,14,18,3,12,4.7216,30.2183,13.2205,16.9978,2.833,11.3319
1100023,Ariquemes,TO,Norte,24h,2017.0,2017,2017,107345,1,1,1,4,86,47,34,11,22,3.7263,80.1155,43.7841,31.6736,10.2473,20.4947
1100023,Ariquemes,TO,Norte,24h,2017.0,2017,2018,106168,1,1,1,2,80,56,15,20,21,1.8838,75.3523,52.7466,14.1286,18.8381,19.78
1100023,Ariquemes,TO,Norte,24h,2017.0,2017,2019,107863,1,1,1,5,121,53,14,31,26,4.6355,112.1793,49.1364,12.9794,28.7402,24.1047
1100049,Cacoal,RO,Norte,comercial,,0,2009,78675,0,0,0,2,0,0,0,0,0,2.5421,0.0,0.0,0.0,0.0,0.0
1100049,Cacoal,RO,Norte,comercial,,0,2010,78817,0,0,0,2,0,0,0,0,0,2.5375,0.0,0.0,0.0,0.0,0.0
1100049,Cacoal,RO,Norte,comercial,,0,2011,78959,0,0,0,2,0,0,0,0,0,2.533,0.0,0.0,0.0,0.0,0.0
1100049,Cacoal,RO,Norte,comercial,,0,2012,79330,0,0,0,4,9,8,6,8,3,5.0422,11.345,10.0845,7.5633,10.0845,3.7817
