id_municipio,ano,homicidios_gerais,taxa_homicidios_gerais,homicidios_masc,taxa_homicidios_masc
1100023,2009,94,109.8888,83,97.0295
1100023,2010,50,56.4614,50,56.4614
1100023,2011,60,65.5236,59,64.4316
1100023,2012,69,74.3959,68,73.3177
1100023,2013,63,62.2105,61,60.2356
1100023,2014,50,48.6098,46,44.721
1100023,2015,55,52.6815,48,45.9766
1100023,2016,58,54.7707,53,50.0491
1100023,2017,51,47.5104,47,43.7841
1100023,2018,44,41.4437,42,39.5599
1100023,2019,36,33.3757,31,28.7402
1100049,2009,20,25.421,18,22.8789
1100049,2010,25,31.719,23,29.1815
1100049,2011,11,13.9313,9,11.3983
1100049,2012,16,20.1689,12,15.1267
1100049,2013,22,25.6222,18,20.9636
1100049,2014,19,21.9511,16,18.4851
1100049,2015,35,40.1257,33,37.8328
1100049,2016,41,46.6561,38,43.2423
1100049,2017,23,25.9866,20,22.5971
1100049,2018,31,36.551,28,33.0138
1100049,2019,23,26.945,20,23.4305
1100106,2009,1,2.4533,1,2.4533
1100106,2010,12,29.022,7,16.9295
1100106,2011,9,21.4623,7,16.6929
1100106,2012,10,23.6956,9,21.326
1100106,2013,7,15.2969,6,13.1116
1100106,2014,10,21.6436,9,19.4793
1100106,2015,7,15.0112,6,12.8667
1100106,2016,12,25.5059,12,25.5059
1100106,2017,5,10.5372,3,6.3223
1100106,2018,6,13.1053,5,10.9211
1100106,2019,10,21.6572,10,21.6572
1100114,2009,12,22.2457,11,20.3919
1100114,2010,8,15.1192,8,15.1192
1100114,2011,10,19.2741,9,17.3467
1100114,2012,8,15.4545,6,11.5908
1100114,2013,17,30.5772,16,28.7785
1100114,2014,28,50.2973,28,50.2973
1100114,2015,16,28.7057,16,28.7057
1100114,2016,27,48.3819,26,46.59
1100114,2017,27,48.3256,22,39.3764
1100114,2018,9,17.33,7,13.4789
1100114,2019,7,13.52,6,11.5886
1100122,2009,41,36.9336,38,34.2312
1100122,2010,0,0.0,0,0.0
1100122,2011,2,1.7041,2,1.7041
1100122,2012,3,2.5404,2,1.6936
1100122,2013,11,8.592,7,5.4676
1100122,2014,23,17.7961,19,14.7011
1100122,2015,28,21.4693,25,19.169
1100122,2016,35,26.6038,31,23.5634
1100122,2017,36,27.1356,32,24.1205
1100122,2018,22,17.2,19,14.8545
1100122,2019,18,13.9568,13,10.0799
1100205,2009,187,48.8469,164,42.839
1100205,2010,215,52.5313,200,48.8663
1100205,2011,189,43.3753,169,38.7853
1100205,2012,198,44.7254,179,40.4336
1100205,2013,201,41.444,180,37.114
1100205,2014,198,40.0799,181,36.6387
1100205,2015,226,44.9529,204,40.577
1100205,2016,241,47.1422,222,43.4256
1100205,2017,203,39.0808,182,35.038
1100205,2018,188,36.1865,175,33.6842
1100205,2019,160,30.2147,150,28.3263
1100288,2009,8,15.8419,5,9.9012
1100288,2010,8,15.7794,6,11.8346
1100288,2011,7,13.7527,6,11.7881
1100288,2012,7,13.6874,5,9.7767
1100288,2013,12,21.6775,11,19.871
1100288,2014,21,37.6297,18,32.254
1100288,2015,9,16.0023,8,14.2242
1100288,2016,13,22.9423,10,17.6479
1100288,2017,13,22.7774,7,12.2648
1100288,2018,6,10.9685,6,10.9685
