id_municipio,municipio,uf,regiao,grupo,ano_implementacao,coorte,ano,populacao,tratado,pos_tratamento,tratamento_ativo,feminicidios,notificacoes,viol_fisica,viol_sexual,viol_psicologica,viol_parceiro,homicidios_gerais,homicidios_masc,taxa_feminicidios,taxa_notificacoes,taxa_viol_fisica,taxa_viol_sexual,taxa_viol_psicologica,taxa_viol_parceiro,taxa_homicidios_gerais,taxa_homicidios_masc
1100023,Ariquemes,TO,Norte,24h,2017,2017,2009,85541,1,0,0,11,10,8,1,0,0,94,83,12.8593,11.6903,9.3522,1.169,0.0,0.0,109.8888,97.0295
1100023,Ariquemes,TO,Norte,24h,2017,2017,2010,88556,1,0,0,0,39,36,3,2,4,50,50,0.0,44.0399,40.6522,3.3877,2.2585,4.5169,56.4614,56.4614
1100023,Ariquemes,TO,Norte,24h,2017,2017,2011,91570,1,0,0,1,55,53,1,2,23,60,59,1.0921,60.0633,57.8792,1.0921,2.1841,25.1174,65.5236,64.4316
1100023,Ariquemes,TO,Norte,24h,2017,2017,2012,92747,1,0,0,1,34,31,4,0,22,69,68,1.0782,36.6589,33.4243,4.3128,0.0,23.7204,74.3959,73.3177
1100023,Ariquemes,TO,Norte,24h,2017,2017,2013,101269,1,0,0,2,19,16,3,4,9,63,61,1.9749,18.7619,15.7995,2.9624,3.9499,8.8872,62.2105,60.2356
1100023,Ariquemes,TO,Norte,24h,2017,2017,2014,102860,1,0,0,4,29,21,18,16,6,50,46,3.8888,28.1937,20.4161,17.4995,15.5551,5.8332,48.6098,44.721
1100023,Ariquemes,TO,Norte,24h,2017,2017,2015,104401,1,0,0,7,46,20,20,9,18,55,48,6.7049,44.0609,19.1569,19.1569,8.6206,17.2412,52.6815,45.9766
1100023,Ariquemes,TO,Norte,24h,2017,2017,2016,105896,1,0,0,5,32,14,18,3,12,58,53,4.7216,30.2183,13.2205,16.9978,2.833,11.3319,54.7707,50.0491
1100023,Ariquemes,TO,Norte,24h,2017,2017,2017,107345,1,1,1,4,86,47,34,11,22,51,47,3.7263,80.1155,43.7841,31.6736,10.2473,20.4947,47.5104,43.7841
1100023,Ariquemes,TO,Norte,24h,2017,2017,2018,106168,1,1,1,2,80,56,15,20,21,44,42,1.8838,75.3523,52.7466,14.1286,18.8381,19.78,41.4437,39.5599
1100023,Ariquemes,TO,Norte,24h,2017,2017,2019,107863,1,1,1,5,121,53,14,31,26,36,31,4.6355,112.1793,49.1364,12.9794,28.7402,24.1047,33.3757,28.7402
1100049,Cacoal,RO,Norte,comercial,,0,2009,78675,0,0,0,2,0,0,0,0,0,20,18,2.5421,0.0,0.0,0.0,0.0,0.0,25.421,22.8789
1100049,Cacoal,RO,Norte,comercial,,0,2010,78817,0,0,0,2,0,0,0,0,0,25,23,2.5375,0.0,0.0,0.0,0.0,0.0,31.719,29.1815
1100049,Cacoal,RO,Norte,comercial,,0,2011,78959,0,0,0,2,0,0,0,0,0,11,9,2.533,0.0,0.0,0.0,0.0,0.0,13.9313,11.3983
1100049,Cacoal,RO,Norte,comercial,,0,2012,79330,0,0,0,4,9,8,6,8,3,16,12,5.0422,11.345,10.0845,7.5633,10.0845,3.7817,20.1689,15.1267
1100049,Cacoal,RO,Norte,comercial,,0,2013,85863,0,0,0,4,16,11,10,3,7,22,18,4.6586,18.6343,12.8111,11.6465,3.4939,8.1525,25.6222,20.9636
1100049,Cacoal,RO,Norte,comercial,,0,2014,86556,0,0,0,3,10,9,6,7,4,19,16,3.466,11.5532,10.3979,6.9319,8.0872,4.6213,21.9511,18.4851
1100049,Cacoal,RO,Norte,comercial,,0,2015,87226,0,0,0,2,15,12,2,5,7,35,33,2.2929,17.1967,13.7574,2.2929,5.7322,8.0251,40.1257,37.8328
1100049,Cacoal,RO,Norte,comercial,,0,2016,87877,0,0,0,3,24,22,1,8,9,41,38,3.4139,27.3109,25.035,1.138,9.1036,10.2416,46.6561,43.2423
1100049,Cacoal,RO,Norte,comercial,,0,2017,88507,0,0,0,3,27,14,9,8,8,23,20,3.3896,30.5061,15.818,10.1687,9.0388,9.0388,25.9866,22.5971
1100049,Cacoal,RO,Norte,comercial,,0,2018,84813,0,0,0,3,21,11,3,7,8,31,28,3.5372,24.7604,12.9697,3.5372,8.2535,9.4325,36.551,33.0138
1100049,Cacoal,RO,Norte,comercial,,0,2019,85359,0,0,0,3,48,12,8,2,5,23,20,3.5146,56.2331,14.0583,9.3722,2.343,5.8576,26.945,23.4305
1100106,Guarajá Mirim,RO,Norte,comercial,,0,2009,40762,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,2.4533,2.4533
1100106,Guarajá Mirim,RO,Norte,comercial,,0,2010,41348,0,0,0,5,2,1,2,1,0,12,7,12.0925,4.837,2.4185,4.837,2.4185,0.0,29.022,16.9295
1100106,Guarajá Mirim,RO,Norte,comercial,,0,2011,41934,0,0,0,2,8,5,3,1,2,9,7,4.7694,19.0776,11.9235,7.1541,2.3847,4.7694,21.4623,16.6929
1100106,Guarajá Mirim,RO,Norte,comercial,,0,2012,42202,0,0,0,1,43,42,3,3,33,10,9,2.3696,101.8909,99.5213,7.1087,7.1087,78.1953,23.6956,21.326
1100106,Guarajá Mirim,RO,Norte,comercial,,0,2013,45761,0,0,0,1,30,30,0,7,21,7,6,2.1853,65.558,65.558,0.0,15.2969,45.8906,15.2969,13.1116
1100106,Guarajá Mirim,RO,Norte,comercial,,0,2014,46203,0,0,0,1,14,13,0,4,14,10,9,2.1644,30.3011,28.1367,0.0,8.6574,30.3011,21.6436,19.4793
1100106,Guarajá Mirim,RO,Norte,comercial,,0,2015,46632,0,0,0,1,24,20,2,11,13,7,6,2.1445,51.4668,42.889,4.2889,23.589,27.8779,15.0112,12.8667
1100106,Guarajá Mirim,RO,Norte,comercial,,0,2016,47048,0,0,0,0,15,15,2,11,8,12,12,0.0,31.8823,31.8823,4.251,23.3804,17.0039,25.5059,25.5059
1100106,Guarajá Mirim,RO,Norte,comercial,,0,2017,47451,0,0,0,2,16,13,1,2,8,5,3,4.2149,33.719,27.3967,2.1074,4.2149,16.8595,10.5372,6.3223
1100106,Guarajá Mirim,RO,Norte,comercial,,0,2018,45783,0,0,0,1,25,20,4,3,16,6,5,2.1842,54.6054,43.6843,8.7369,6.5527,34.9475,13.1053,10.9211
1100106,Guarajá Mirim,RO,Norte,comercial,,0,2019,46174,0,0,0,0,42,36,6,4,18,10,10,0.0,90.9603,77.966,12.9943,8.6629,38.983,21.6572,21.6572
1100114,Jaru,RO,Norte,24h,2014,2014,2009,53943,1,0,0,1,0,0,0,0,0,12,11,1.8538,0.0,0.0,0.0,0.0,0.0,22.2457,20.3919
1100114,Jaru,RO,Norte,24h,2014,2014,2010,52913,1,0,0,0,0,0,0,0,0,8,8,0.0,0.0,0.0,0.0,0.0,0.0,15.1192,15.1192
1100114,Jaru,RO,Norte,24h,2014,2014,2011,51883,1,0,0,0,3,3,0,0,3,10,9,0.0,5.7822,5.7822,0.0,0.0,5.7822,19.2741,17.3467
1100114,Jaru,RO,Norte,24h,2014,2014,2012,51765,1,0,0,2,0,0,0,0,0,8,6,3.8636,0.0,0.0,0.0,0.0,0.0,15.4545,11.5908
1100114,Jaru,RO,Norte,24h,2014,2014,2013,55597,1,0,0,1,6,5,0,0,2,17,16,1.7987,10.7919,8.9933,0.0,0.0,3.5973,30.5772,28.7785
1100114,Jaru,RO,Norte,24h,2014,2014,2014,55669,1,1,1,0,10,7,4,1,1,28,28,0.0,17.9633,12.5743,7.1853,1.7963,1.7963,50.2973,50.2973
1100114,Jaru,RO,Norte,24h,2014,2014,2015,55738,1,1,1,0,4,2,3,1,4,16,16,0.0,7.1764,3.5882,5.3823,1.7941,7.1764,28.7057,28.7057
1100114,Jaru,RO,Norte,24h,2014,2014,2016,55806,1,1,1,1,3,2,1,1,0,27,26,1.7919,5.3758,3.5838,1.7919,1.7919,0.0,48.3819,46.59
1100114,Jaru,RO,Norte,24h,2014,2014,2017,55871,1,1,1,5,8,4,5,4,2,27,22,8.9492,14.3187,7.1593,8.9492,7.1593,3.5797,48.3256,39.3764
1100114,Jaru,RO,Norte,24h,2014,2014,2018,51933,1,1,1,2,32,17,4,6,4,9,7,3.8511,61.6179,32.7345,7.7022,11.5533,7.7022,17.33,13.4789
1100114,Jaru,RO,Norte,24h,2014,2014,2019,51775,1,1,1,1,30,19,7,9,4,7,6,1.9314,57.943,36.6972,13.52,17.3829,7.7257,13.52,11.5886
1100122,Ji-Paraná,RO,Norte,comercial,,0,2009,111010,0,0,0,3,0,0,0,0,0,41,38,2.7025,0.0,0.0,0.0,0.0,0.0,36.9336,34.2312
1100122,Ji-Paraná,RO,Norte,comercial,,0,2010,114186,0,0,0,0,2,1,0,2,1,0,0,0.0,1.7515,0.8758,0.0,1.7515,0.8758,0.0,0.0
1100122,Ji-Paraná,RO,Norte,comercial,,0,2011,117363,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,1.7041,1.7041
1100122,Ji-Paraná,RO,Norte,comercial,,0,2012,118092,0,0,0,1,1,1,1,1,0,3,2,0.8468,0.8468,0.8468,0.8468,0.8468,0.0,2.5404,1.6936
1100122,Ji-Paraná,RO,Norte,comercial,,0,2013,128026,0,0,0,4,5,4,0,3,3,11,7,3.1244,3.9055,3.1244,0.0,2.3433,2.3433,8.592,5.4676
1100122,Ji-Paraná,RO,Norte,comercial,,0,2014,129242,0,0,0,4,3,3,1,1,0,23,19,3.095,2.3212,2.3212,0.7737,0.7737,0.0,17.7961,14.7011
1100122,Ji-Paraná,RO,Norte,comercial,,0,2015,130419,0,0,0,3,4,4,1,0,0,28,25,2.3003,3.067,3.067,0.7668,0.0,0.0,21.4693,19.169
1100122,Ji-Paraná,RO,Norte,comercial,,0,2016,131560,0,0,0,4,30,22,13,11,6,35,31,3.0404,22.8033,16.7224,9.8814,8.3612,4.5607,26.6038,23.5634
1100122,Ji-Paraná,RO,Norte,comercial,,0,2017,132667,0,0,0,4,46,42,7,10,7,36,32,3.0151,34.6733,31.6582,5.2764,7.5377,5.2764,27.1356,24.1205
1100122,Ji-Paraná,RO,Norte,comercial,,0,2018,127907,0,0,0,3,38,33,7,8,12,22,19,2.3455,29.7091,25.8,5.4727,6.2545,9.3818,17.2,14.8545
1100122,Ji-Paraná,RO,Norte,comercial,,0,2019,128969,0,0,0,4,91,78,8,23,16,18,13,3.1015,70.5596,60.4797,6.203,17.8337,12.4061,13.9568,10.0799
1100205,Porto Velho,RO,Norte,comercial,,0,2009,382829,0,0,0,23,71,40,40,15,27,187,164,6.0079,18.5461,10.4485,10.4485,3.9182,7.0528,48.8469,42.839
1100205,Porto Velho,RO,Norte,comercial,,0,2010,409280,0,0,0,14,69,23,52,25,24,215,200,3.4206,16.8589,5.6196,12.7052,6.1083,5.864,52.5313,48.8663
1100205,Porto Velho,RO,Norte,comercial,,0,2011,435732,0,0,0,20,84,48,38,21,34,189,169,4.59,19.2779,11.0159,8.721,4.8195,7.803,43.3753,38.7853
1100205,Porto Velho,RO,Norte,comercial,,0,2012,442701,0,0,0,19,77,34,48,20,29,198,179,4.2918,17.3932,7.6801,10.8425,4.5177,6.5507,44.7254,40.4336
1100205,Porto Velho,RO,Norte,comercial,,0,2013,484992,0,0,0,21,96,44,57,35,28,201,180,4.33,19.7941,9.0723,11.7528,7.2166,5.7733,41.444,37.114
1100205,Porto Velho,RO,Norte,comercial,,0,2014,494013,0,0,0,17,159,99,62,50,72,198,181,3.4412,32.1854,20.04,12.5503,10.1212,14.5745,40.0799,36.6387
