grupo,periodo,dow,n
24h,Antes 24h,0,14235
24h,Antes 24h,1,12413
24h,Antes 24h,2,12197
24h,Antes 24h,3,11587
24h,Antes 24h,4,10718
24h,Antes 24h,5,7275
24h,Antes 24h,6,8484
24h,Depois 24h,0,17921
24h,Depois 24h,1,16376
24h,Depois 24h,2,16131
24h,Depois 24h,3,15470
24h,Depois 24h,4,15100
24h,Depois 24h,5,13699
24h,Depois 24h,6,15917
comercial,Comercial,0,86159
comercial,Comercial,1,74254
comercial,Comercial,2,73260
comercial,Comercial,3,70979
comercial,Comercial,4,68007
comercial,Comercial,5,55631
comercial,Comercial,6,67039
