id_municipio,ano,pib_per_capita,log_pib_per_capita
1100023,2009,13246.22,9.4915
1100023,2010,15410.52,9.6428
1100023,2011,18039.59,9.8003
1100023,2012,18368.7,9.8184
1100023,2013,17772.99,9.7854
1100023,2014,18681.04,9.8353
1100023,2015,19518.96,9.8791
1100023,2016,20627.28,9.9344
1100023,2017,21313.61,9.9671
1100023,2018,23215.13,10.0526
1100023,2019,23912.54,10.0822
1100049,2009,12525.95,9.4356
1100049,2010,15053.78,9.6194
1100049,2011,15945.29,9.6769
1100049,2012,17303.73,9.7587
1100049,2013,16692.34,9.7227
1100049,2014,19185.85,9.8619
1100049,2015,20572.74,9.9317
1100049,2016,22159.19,10.006
1100049,2017,23532.16,10.0661
1100049,2018,25654.56,10.1525
1100049,2019,26499.02,10.1849
1100106,2009,12784.06,9.456
1100106,2010,14466.65,9.5796
1100106,2011,17059.81,9.7445
1100106,2012,12230.98,9.4117
1100106,2013,13223.73,9.4898
1100106,2014,13985.11,9.5457
1100106,2015,14634.97,9.5912
1100106,2016,15736.1,9.6637
1100106,2017,16336.75,9.7012
1100106,2018,18291.92,9.8142
1100106,2019,19335.08,9.8697
1100114,2009,13385.37,9.5019
1100114,2010,15068.06,9.6203
1100114,2011,16607.04,9.7176
1100114,2012,19413.97,9.8737
1100114,2013,19253.36,9.8654
1100114,2014,20310.41,9.9189
1100114,2015,21672.2,9.9838
1100114,2016,23544.46,10.0666
1100114,2017,24247.52,10.0961
1100114,2018,28585.97,10.2607
1100114,2019,28988.03,10.2746
1100122,2009,14776.54,9.6008
1100122,2010,16248.57,9.6958
1100122,2011,17520.17,9.7711
1100122,2012,19634.94,9.8851
1100122,2013,18549.36,9.8282
1100122,2014,20513.81,9.9289
1100122,2015,21130.01,9.9584
1100122,2016,22695.16,10.0299
1100122,2017,23081.57,10.0468
1100122,2018,27104.15,10.2074
1100122,2019,29334.23,10.2865
1100205,2009,17872.09,9.791
1100205,2010,22219.08,10.0087
1100205,2011,25564.46,10.149
1100205,2012,27040.55,10.2051
1100205,2013,24123.51,10.0909
1100205,2014,25896.13,10.1618
1100205,2015,27787.98,10.2324
1100205,2016,28855.07,10.27
1100205,2017,32678.96,10.3945
1100205,2018,32059.05,10.3753
1100205,2019,33814.84,10.4287
1100288,2009,11307.11,9.3332
1100288,2010,12383.83,9.4241
1100288,2011,14858.94,9.6064
1100288,2012,16532.4,9.7131
1100288,2013,16729.39,9.7249
1100288,2014,18366.19,9.8183
1100288,2015,19245.4,9.865
1100288,2016,21136.72,9.9588
1100288,2017,22856.34,10.037
1100288,2018,23609.3,10.0694
1100288,2019,23272.08,10.055
1100304,2009,17819.65,9.7881
1100304,2010,19582.51,9.8824
1100304,2011,19136.96,9.8594
1100304,2012,22583.1,10.025
1100304,2013,22929.26,10.0402
1100304,2014,23660.79,10.0716
1100304,2015,23806.66,10.0777
1100304,2016,25834.34,10.1595
1100304,2017,26390.38,10.1808
1100304,2018,27922.37,10.2372
1100304,2019,28368.8,10.253
1302603,2009,24197.16,10.094
1302603,2010,28097.41,10.2434
1302603,2011,30303.38,10.319
1302603,2012,29837.1,10.3035
1302603,2013,32201.9,10.3798
1302603,2014,33370.72,10.4154
1302603,2015,32597.83,10.392
1302603,2016,33534.48,10.4203
1302603,2017,34373.88,10.4451
1302603,2018,36428.54,10.5031
1302603,2019,38742.66,10.5647
1500107,2009,3642.24,8.2004
1500107,2010,4131.53,8.3264
1500107,2011,4971.7,8.5115
1500107,2012,5526.11,8.6172
1500107,2013,6053.14,8.7083
1500107,2014,7097.05,8.8674
1500107,2015,7927.59,8.9781
1500107,2016,8205.14,9.0125
1500107,2017,8719.21,9.0733
1500107,2018,9044.08,9.1099
1500107,2019,9458.72,9.1547
1500602,2009,6994.3,8.8529
1500602,2010,8445.79,9.0414
1500602,2011,12787.7,9.4562
1500602,2012,21560.6,9.9786
1500602,2013,29437.24,10.29
1500602,2014,36984.97,10.5183
