Municipio,Estado,Numero_Delegacias,Ano_Fundacao,Horario_Funcionamento,Ano_Conversao_24h
Sao Paulo,SP,9,1985,24h,2019
Campinas,SP,2,1986,24h,Nao disponivel
Santos,SP,1,1986,24h,Nao disponivel
Sorocaba,SP,1,1988,24h,Nao disponivel
Ribeirao Preto,SP,1,1988,24h,Nao disponivel
Guarulhos,SP,1,1988,Horario comercial,Nao se aplica
Osasco,SP,1,1988,Horario comercial,Nao se aplica
Santo Andre,SP,1,1988,Horario comercial,Nao se aplica
Sao Bernardo do Campo,SP,1,1988,Horario comercial,Nao se aplica
Sao Jose dos Campos,SP,1,1988,Horario comercial,Nao se aplica
Bauru,SP,1,1988,Horario comercial,Nao se aplica
Piracicaba,SP,1,1988,Horario comercial,Nao se aplica
Jundiai,SP,1,1988,Horario comercial,Nao se aplica
Mogi das Cruzes,SP,1,1988,Horario comercial,Nao se aplica
Franca,SP,1,1990,Horario comercial,Nao se aplica
Taubate,SP,1,1990,Horario comercial,Nao se aplica
Marilia,SP,1,1990,Horario comercial,Nao se aplica
Presidente Prudente,SP,1,1990,Horario comercial,Nao se aplica
Aracatuba,SP,1,1990,Horario comercial,Nao se aplica
Araraquara,SP,1,1990,Horario comercial,Nao se aplica
Sao Jose do Rio Preto,SP,1,1990,Horario comercial,Nao se aplica
Sao Carlos,SP,1,1990,Horario comercial,Nao se aplica
Limeira,SP,1,1990,Horario comercial,Nao se aplica
Suzano,SP,1,1990,Horario comercial,Nao se aplica
Itaquaquecetuba,SP,1,1996,Horario comercial,Nao se aplica
Diadema,SP,1,1990,Horario comercial,Nao se aplica
Carapicuiba,SP,1,1996,Horario comercial,Nao se aplica
Maua,SP,1,1996,Horario comercial,Nao se aplica
Taboao da Serra,SP,1,1996,Horario comercial,Nao se aplica
Barueri,SP,1,1996,Horario comercial,Nao se aplica
Cotia,SP,1,1996,Horario comercial,Nao se aplica
Embu das Artes,SP,1,1996,Horario comercial,Nao se aplica
Ferraz de Vasconcelos,SP,1,1996,Horario comercial,Nao se aplica
Francisco Morato,SP,1,1996,Horario comercial,Nao se aplica
Franco da Rocha,SP,1,1996,Horario comercial,Nao se aplica
Guaruja,SP,1,1990,Horario comercial,Nao se aplica
Itapecerica da Serra,SP,1,1996,Horario comercial,Nao se aplica
Itapevi,SP,1,1996,Horario comercial,Nao se aplica
Jacarei,SP,1,1996,Horario comercial,Nao se aplica
Pindamonhangaba,SP,1,1996,Horario comercial,Nao se aplica
Praia Grande,SP,1,1996,Horario comercial,Nao se aplica
Sao Vicente,SP,1,1990,Horario comercial,Nao se aplica
Cubatao,SP,1,1996,Horario comercial,Nao se aplica
Assis,SP,1,1996,Horario comercial,Nao se aplica
Atibaia,SP,1,1996,Horario comercial,Nao se aplica
Botucatu,SP,1,1996,Horario comercial,Nao se aplica
Braganca Paulista,SP,1,1996,Horario comercial,Nao se aplica
Catanduva,SP,1,1996,Horario comercial,Nao se aplica
Itapetininga,SP,1,1996,Horario comercial,Nao se aplica
Itu,SP,1,1996,Horario comercial,Nao se aplica
Jaboticabal,SP,1,1996,Horario comercial,Nao se aplica
Lins,SP,1,1996,Horario comercial,Nao se aplica
Mogi Guacu,SP,1,1996,Horario comercial,Nao se aplica
Ourinhos,SP,1,1996,Horario comercial,Nao se aplica
Registro,SP,1,1996,Horario comercial,Nao se aplica
Rio Claro,SP,1,1996,Horario comercial,Nao se aplica
Santa Barbara d'Oeste,SP,1,1996,Horario comercial,Nao se aplica
