ano,id_municipio_ocorrencia,id_municipio_ocorrencia_nome,uf,total_feminicidios
2012,1100015,Alta Floresta D'Oeste,RO,2
2014,1100015,Alta Floresta D'Oeste,RO,2
2015,1100015,Alta Floresta D'Oeste,RO,1
2009,1100023,Ariquemes,RO,11
2011,1100023,Ariquemes,RO,1
2012,1100023,Ariquemes,RO,1
2013,1100023,Ariquemes,RO,2
2014,1100023,Ariquemes,RO,4
2015,1100023,Ariquemes,RO,7
2016,1100023,Ariquemes,RO,5
2017,1100023,Ariquemes,RO,4
2018,1100023,Ariquemes,RO,2
2019,1100023,Ariquemes,RO,5
2016,1100031,Cabixi,RO,1
2017,1100031,Cabixi,RO,1
2009,1100049,Cacoal,RO,2
2010,1100049,Cacoal,RO,2
2011,1100049,Cacoal,RO,2
2012,1100049,Cacoal,RO,4
2013,1100049,Cacoal,RO,4
2014,1100049,Cacoal,RO,3
2015,1100049,Cacoal,RO,2
2016,1100049,Cacoal,RO,3
2017,1100049,Cacoal,RO,3
2018,1100049,Cacoal,RO,3
2019,1100049,Cacoal,RO,3
2011,1100056,Cerejeiras,RO,1
2012,1100056,Cerejeiras,RO,1
2013,1100056,Cerejeiras,RO,1
2017,1100056,Cerejeiras,RO,1
2018,1100056,Cerejeiras,RO,1
2016,1100064,Colorado do Oeste,RO,1
2013,1100072,Corumbiara,RO,1
2011,1100080,Costa Marques,RO,1
2014,1100080,Costa Marques,RO,1
2017,1100080,Costa Marques,RO,1
2011,1100098,Espigão D'Oeste,RO,1
2014,1100098,Espigão D'Oeste,RO,2
2015,1100098,Espigão D'Oeste,RO,1
2010,1100106,Guajará-Mirim,RO,5
2011,1100106,Guajará-Mirim,RO,2
2012,1100106,Guajará-Mirim,RO,1
2013,1100106,Guajará-Mirim,RO,1
2014,1100106,Guajará-Mirim,RO,1
2015,1100106,Guajará-Mirim,RO,1
2017,1100106,Guajará-Mirim,RO,2
2018,1100106,Guajará-Mirim,RO,1
2009,1100114,Jaru,RO,1
2012,1100114,Jaru,RO,2
2013,1100114,Jaru,RO,1
2016,1100114,Jaru,RO,1
2017,1100114,Jaru,RO,5
2018,1100114,Jaru,RO,2
2019,1100114,Jaru,RO,1
2009,1100122,Ji-Paraná,RO,3
2012,1100122,Ji-Paraná,RO,1
2013,1100122,Ji-Paraná,RO,4
2014,1100122,Ji-Paraná,RO,4
2015,1100122,Ji-Paraná,RO,3
2016,1100122,Ji-Paraná,RO,4
2017,1100122,Ji-Paraná,RO,4
2018,1100122,Ji-Paraná,RO,3
2019,1100122,Ji-Paraná,RO,4
2009,1100130,Machadinho D'Oeste,RO,1
2011,1100130,Machadinho D'Oeste,RO,1
2012,1100130,Machadinho D'Oeste,RO,2
2013,1100130,Machadinho D'Oeste,RO,1
2014,1100130,Machadinho D'Oeste,RO,4
2015,1100130,Machadinho D'Oeste,RO,2
2016,1100130,Machadinho D'Oeste,RO,1
2017,1100130,Machadinho D'Oeste,RO,1
2018,1100130,Machadinho D'Oeste,RO,1
2012,1100148,Nova Brasilândia D'Oeste,RO,2
2014,1100148,Nova Brasilândia D'Oeste,RO,1
2015,1100148,Nova Brasilândia D'Oeste,RO,1
2018,1100148,Nova Brasilândia D'Oeste,RO,1
2011,1100155,Ouro Preto do Oeste,RO,1
2014,1100155,Ouro Preto do Oeste,RO,2
2019,1100155,Ouro Preto do Oeste,RO,2
2010,1100189,Pimenta Bueno,RO,1
2011,1100189,Pimenta Bueno,RO,2
2012,1100189,Pimenta Bueno,RO,1
2013,1100189,Pimenta Bueno,RO,1
2015,1100189,Pimenta Bueno,RO,3
2016,1100189,Pimenta Bueno,RO,2
2019,1100189,Pimenta Bueno,RO,1
2009,1100205,Porto Velho,RO,23
2010,1100205,Porto Velho,RO,14
2011,1100205,Porto Velho,RO,20
2012,1100205,Porto Velho,RO,19
2013,1100205,Porto Velho,RO,21
2014,1100205,Porto Velho,RO,17
2015,1100205,Porto Velho,RO,22
2016,1100205,Porto Velho,RO,19
2017,1100205,Porto Velho,RO,20
2018,1100205,Porto Velho,RO,13
2019,1100205,Porto Velho,RO,10
2009,1100254,Presidente Médici,RO,1
2010,1100254,Presidente Médici,RO,1
2011,1100254,Presidente Médici,RO,2
2014,1100254,Presidente Médici,RO,1
2018,1100254,Presidente Médici,RO,2
2012,1100262,Rio Crespo,RO,1
2013,1100262,Rio Crespo,RO,1
2009,1100288,Rolim de Moura,RO,3
2010,1100288,Rolim de Moura,RO,2
2011,1100288,Rolim de Moura,RO,1
2012,1100288,Rolim de Moura,RO,2
2013,1100288,Rolim de Moura,RO,1
2014,1100288,Rolim de Moura,RO,3
2015,1100288,Rolim de Moura,RO,1
2016,1100288,Rolim de Moura,RO,3
2017,1100288,Rolim de Moura,RO,6
2019,1100288,Rolim de Moura,RO,2
2014,1100296,Santa Luzia D'Oeste,RO,1
2017,1100296,Santa Luzia D'Oeste,RO,1
2010,1100304,Vilhena,RO,3
2011,1100304,Vilhena,RO,3
2012,1100304,Vilhena,RO,3
2013,1100304,Vilhena,RO,4
2014,1100304,Vilhena,RO,2
2015,1100304,Vilhena,RO,5
2016,1100304,Vilhena,RO,5
2017,1100304,Vilhena,RO,4
2018,1100304,Vilhena,RO,4
2019,1100304,Vilhena,RO,4
2009,1100320,São Miguel do Guaporé,RO,1
2011,1100320,São Miguel do Guaporé,RO,1
2012,1100320,São Miguel do Guaporé,RO,1
2014,1100320,São Miguel do Guaporé,RO,2
2015,1100320,São Miguel do Guaporé,RO,1
2017,1100320,São Miguel do Guaporé,RO,1
2018,1100320,São Miguel do Guaporé,RO,1
2010,1100338,Nova Mamoré,RO,1
2016,1100338,Nova Mamoré,RO,1
