ano,id_municipio_ocorrencia,id_municipio_ocorrencia_nome,uf,total_notificacoes,total_lesoes,total_ameacas,total_encaminhamentos_ddm
2012,1100015,Alta Floresta D'Oeste,RO,1,0,1,0
2013,1100015,Alta Floresta D'Oeste,RO,1,1,0,0
2014,1100015,Alta Floresta D'Oeste,RO,3,3,0,0
2015,1100015,Alta Floresta D'Oeste,RO,5,3,0,0
2016,1100015,Alta Floresta D'Oeste,RO,15,10,4,3
2017,1100015,Alta Floresta D'Oeste,RO,39,34,3,2
2018,1100015,Alta Floresta D'Oeste,RO,37,36,2,0
2019,1100015,Alta Floresta D'Oeste,RO,31,21,1,0
2009,1100023,Ariquemes,RO,16,14,0,0
2010,1100023,Ariquemes,RO,95,90,0,6
2011,1100023,Ariquemes,RO,66,64,1,5
2012,1100023,Ariquemes,RO,38,35,0,3
2013,1100023,Ariquemes,RO,20,17,2,10
2014,1100023,Ariquemes,RO,35,25,7,11
2015,1100023,Ariquemes,RO,50,22,4,18
2016,1100023,Ariquemes,RO,43,21,7,7
2017,1100023,Ariquemes,RO,95,53,6,21
2018,1100023,Ariquemes,RO,93,64,21,20
2019,1100023,Ariquemes,RO,155,71,8,15
2012,1100031,Cabixi,RO,2,2,0,0
2013,1100031,Cabixi,RO,1,1,0,0
2014,1100031,Cabixi,RO,1,0,0,0
2016,1100031,Cabixi,RO,1,1,0,0
2017,1100031,Cabixi,RO,5,5,0,1
2012,1100049,Cacoal,RO,11,10,2,3
2013,1100049,Cacoal,RO,18,11,0,7
2014,1100049,Cacoal,RO,14,10,5,5
2015,1100049,Cacoal,RO,23,16,2,1
2016,1100049,Cacoal,RO,29,26,2,3
2017,1100049,Cacoal,RO,32,16,3,7
2018,1100049,Cacoal,RO,29,12,4,3
2019,1100049,Cacoal,RO,66,16,2,5
2011,1100056,Cerejeiras,RO,1,1,0,0
2012,1100056,Cerejeiras,RO,4,3,0,1
2013,1100056,Cerejeiras,RO,15,6,9,0
2014,1100056,Cerejeiras,RO,28,11,15,0
2015,1100056,Cerejeiras,RO,2,0,0,0
2016,1100056,Cerejeiras,RO,2,2,0,1
2017,1100056,Cerejeiras,RO,5,4,0,0
2018,1100056,Cerejeiras,RO,2,0,0,0
2019,1100056,Cerejeiras,RO,2,2,0,0
2012,1100064,Colorado do Oeste,RO,1,1,0,0
2013,1100064,Colorado do Oeste,RO,1,1,0,0
2015,1100064,Colorado do Oeste,RO,1,1,0,0
2017,1100064,Colorado do Oeste,RO,4,3,0,0
2018,1100064,Colorado do Oeste,RO,1,0,0,0
2019,1100064,Colorado do Oeste,RO,2,1,0,1
2012,1100072,Corumbiara,RO,1,1,0,0
2013,1100072,Corumbiara,RO,3,2,2,0
2015,1100072,Corumbiara,RO,1,1,1,0
2017,1100072,Corumbiara,RO,3,2,0,0
2018,1100072,Corumbiara,RO,2,0,0,0
2019,1100072,Corumbiara,RO,1,1,0,0
2011,1100080,Costa Marques,RO,1,0,0,0
2015,1100080,Costa Marques,RO,1,1,0,0
2016,1100080,Costa Marques,RO,5,4,0,0
2017,1100080,Costa Marques,RO,12,12,0,0
2018,1100080,Costa Marques,RO,27,22,3,0
2019,1100080,Costa Marques,RO,23,20,1,0
2011,1100098,Espigão D'Oeste,RO,1,1,0,0
2015,1100098,Espigão D'Oeste,RO,3,2,0,1
2016,1100098,Espigão D'Oeste,RO,2,2,0,0
2017,1100098,Espigão D'Oeste,RO,3,3,1,1
2018,1100098,Espigão D'Oeste,RO,5,4,0,0
2019,1100098,Espigão D'Oeste,RO,4,3,1,0
2010,1100106,Guajará-Mirim,RO,2,1,0,2
2011,1100106,Guajará-Mirim,RO,10,7,0,5
2012,1100106,Guajará-Mirim,RO,45,44,2,41
2013,1100106,Guajará-Mirim,RO,33,33,11,23
2014,1100106,Guajará-Mirim,RO,17,16,0,12
2015,1100106,Guajará-Mirim,RO,43,34,3,5
2016,1100106,Guajará-Mirim,RO,23,23,5,5
2017,1100106,Guajará-Mirim,RO,21,16,1,6
2018,1100106,Guajará-Mirim,RO,30,25,0,9
2019,1100106,Guajará-Mirim,RO,54,46,2,4
2011,1100114,Jaru,RO,4,4,0,1
2013,1100114,Jaru,RO,7,6,0,0
2014,1100114,Jaru,RO,10,7,1,1
2015,1100114,Jaru,RO,5,3,0,0
2016,1100114,Jaru,RO,5,4,2,1
2017,1100114,Jaru,RO,13,4,0,0
2018,1100114,Jaru,RO,40,23,1,0
2019,1100114,Jaru,RO,39,25,1,0
2010,1100122,Ji-Paraná,RO,2,1,0,0
2011,1100122,Ji-Paraná,RO,1,0,0,0
2012,1100122,Ji-Paraná,RO,2,2,0,1
2013,1100122,Ji-Paraná,RO,6,5,2,0
2014,1100122,Ji-Paraná,RO,7,6,2,1
2015,1100122,Ji-Paraná,RO,8,8,0,2
2016,1100122,Ji-Paraná,RO,38,28,8,7
2017,1100122,Ji-Paraná,RO,80,72,6,4
2018,1100122,Ji-Paraná,RO,56,47,4,13
2019,1100122,Ji-Paraná,RO,137,120,19,11
2009,1100130,Machadinho D'Oeste,RO,1,1,0,0
2011,1100130,Machadinho D'Oeste,RO,1,1,1,0
2013,1100130,Machadinho D'Oeste,RO,8,6,0,1
2014,1100130,Machadinho D'Oeste,RO,5,3,2,1
2015,1100130,Machadinho D'Oeste,RO,3,3,0,0
2016,1100130,Machadinho D'Oeste,RO,1,1,0,0
2017,1100130,Machadinho D'Oeste,RO,7,4,2,0
2018,1100130,Machadinho D'Oeste,RO,9,7,0,0
2019,1100130,Machadinho D'Oeste,RO,3,1,1,0
2009,1100148,Nova Brasilândia D'Oeste,RO,1,1,0,0
2011,1100148,Nova Brasilândia D'Oeste,RO,14,11,5,0
2012,1100148,Nova Brasilândia D'Oeste,RO,1,1,0,0
2013,1100148,Nova Brasilândia D'Oeste,RO,1,1,0,0
2014,1100148,Nova Brasilândia D'Oeste,RO,8,5,2,0
2015,1100148,Nova Brasilândia D'Oeste,RO,2,2,0,0
2016,1100148,Nova Brasilândia D'Oeste,RO,2,1,0,0
2017,1100148,Nova Brasilândia D'Oeste,RO,9,8,2,0
2018,1100148,Nova Brasilândia D'Oeste,RO,3,3,0,0
2019,1100148,Nova Brasilândia D'Oeste,RO,3,0,0,0
2010,1100155,Ouro Preto do Oeste,RO,1,1,0,0
2014,1100155,Ouro Preto do Oeste,RO,4,2,0,0
2015,1100155,Ouro Preto do Oeste,RO,4,2,2,0
2016,1100155,Ouro Preto do Oeste,RO,3,2,0,0
2017,1100155,Ouro Preto do Oeste,RO,3,3,1,0
2018,1100155,Ouro Preto do Oeste,RO,3,3,0,0
2019,1100155,Ouro Preto do Oeste,RO,10,6,1,1
2012,1100189,Pimenta Bueno,RO,1,1,0,1
2013,1100189,Pimenta Bueno,RO,15,12,6,4
2014,1100189,Pimenta Bueno,RO,3,1,2,0
2015,1100189,Pimenta Bueno,RO,2,2,1,1
2016,1100189,Pimenta Bueno,RO,3,2,0,0
2017,1100189,Pimenta Bueno,RO,1,0,0,0
2018,1100189,Pimenta Bueno,RO,46,35,6,1
2019,1100189,Pimenta Bueno,RO,102,94,5,0
2009,1100205,Porto Velho,RO,126,94,14,7
2010,1100205,Porto Velho,RO,78,32,20,9
2011,1100205,Porto Velho,RO,98,62,18,19
2012,1100205,Porto Velho,RO,92,47,20,7
2013,1100205,Porto Velho,RO,102,49,24,15
2014,1100205,Porto Velho,RO,205,131,38,24
2015,1100205,Porto Velho,RO,359,181,85,51
2016,1100205,Porto Velho,RO,476,244,80,63
2017,1100205,Porto Velho,RO,470,250,61,70
2018,1100205,Porto Velho,RO,465,211,68,61
2019,1100205,Porto Velho,RO,348,167,51,41
2014,1100254,Presidente Médici,RO,2,2,1,0
2015,1100254,Presidente Médici,RO,1,1,0,0
2016,1100254,Presidente Médici,RO,1,1,0,0
2017,1100254,Presidente Médici,RO,2,2,0,0
2019,1100254,Presidente Médici,RO,28,24,0,0
2009,1100262,Rio Crespo,RO,1,1,0,0
2015,1100262,Rio Crespo,RO,1,1,0,0
2019,1100262,Rio Crespo,RO,1,1,0,0
2010,1100288,Rolim de Moura,RO,1,0,0,0
2012,1100288,Rolim de Moura,RO,2,1,0,1
2013,1100288,Rolim de Moura,RO,4,4,1,3
2014,1100288,Rolim de Moura,RO,3,1,1,0
2015,1100288,Rolim de Moura,RO,6,5,0,1
2016,1100288,Rolim de Moura,RO,13,12,1,3
2017,1100288,Rolim de Moura,RO,109,89,27,8
2018,1100288,Rolim de Moura,RO,85,61,14,4
2019,1100288,Rolim de Moura,RO,25,18,0,2
2014,1100296,Santa Luzia D'Oeste,RO,10,10,0,0
2015,1100296,Santa Luzia D'Oeste,RO,1,1,0,0
2017,1100296,Santa Luzia D'Oeste,RO,6,6,0,0
2018,1100296,Santa Luzia D'Oeste,RO,8,6,0,0
2019,1100296,Santa Luzia D'Oeste,RO,1,1,0,0
2011,1100304,Vilhena,RO,28,25,7,8
2012,1100304,Vilhena,RO,80,65,7,11
2013,1100304,Vilhena,RO,41,37,8,13
2014,1100304,Vilhena,RO,46,41,8,11
2015,1100304,Vilhena,RO,39,31,8,3
2016,1100304,Vilhena,RO,65,50,14,10
2017,1100304,Vilhena,RO,129,109,14,6
2018,1100304,Vilhena,RO,198,75,7,20
2019,1100304,Vilhena,RO,206,73,9,25
2013,1100320,São Miguel do Guaporé,RO,4,3,0,0
2014,1100320,São Miguel do Guaporé,RO,1,1,0,0
2015,1100320,São Miguel do Guaporé,RO,8,8,2,1
2016,1100320,São Miguel do Guaporé,RO,3,2,0,0
2017,1100320,São Miguel do Guaporé,RO,4,3,2,0
2018,1100320,São Miguel do Guaporé,RO,6,4,0,0
2019,1100320,São Miguel do Guaporé,RO,9,5,3,1
2009,1100338,Nova Mamoré,RO,1,1,1,1
2011,1100338,Nova Mamoré,RO,1,1,0,0
2012,1100338,Nova Mamoré,RO,2,2,2,0
2015,1100338,Nova Mamoré,RO,4,3,2,0
2016,1100338,Nova Mamoré,RO,1,0,1,0
2017,1100338,Nova Mamoré,RO,5,4,1,0
2018,1100338,Nova Mamoré,RO,6,4,0,0
2019,1100338,Nova Mamoré,RO,5,5,2,0
2013,1100346,Alvorada D'Oeste,RO,2,2,0,1
2014,1100346,Alvorada D'Oeste,RO,2,2,0,0
2015,1100346,Alvorada D'Oeste,RO,3,3,0,1
2016,1100346,Alvorada D'Oeste,RO,13,13,5,0
2017,1100346,Alvorada D'Oeste,RO,21,18,10,0
2018,1100346,Alvorada D'Oeste,RO,12,9,2,0
2019,1100346,Alvorada D'Oeste,RO,5,2,0,0
2011,1100379,Alto Alegre dos Parecis,RO,3,0,0,0
2012,1100379,Alto Alegre dos Parecis,RO,8,8,1,0
2014,1100379,Alto Alegre dos Parecis,RO,8,8,2,1
2015,1100379,Alto Alegre dos Parecis,RO,4,4,2,0
2016,1100379,Alto Alegre dos Parecis,RO,4,4,1,0
2017,1100379,Alto Alegre dos Parecis,RO,6,4,0,0
2018,1100379,Alto Alegre dos Parecis,RO,5,3,0,0
2019,1100379,Alto Alegre dos Parecis,RO,2,1,0,0
2009,1100403,Alto Paraíso,RO,1,1,0,0
2013,1100403,Alto Paraíso,RO,1,1,1,0
2015,1100403,Alto Paraíso,RO,5,2,1,2
2016,1100403,Alto Paraíso,RO,4,2,1,2
2018,1100403,Alto Paraíso,RO,5,4,1,1
2019,1100403,Alto Paraíso,RO,8,1,6,1
2010,1100452,Buritis,RO,1,1,0,1
2013,1100452,Buritis,RO,1,0,0,0
2014,1100452,Buritis,RO,4,3,1,1
2015,1100452,Buritis,RO,3,3,0,0
2016,1100452,Buritis,RO,4,4,1,0
2017,1100452,Buritis,RO,21,10,8,1
2018,1100452,Buritis,RO,25,17,3,0
2019,1100452,Buritis,RO,66,59,3,0
2014,1100502,Novo Horizonte do Oeste,RO,1,0,0,0
2015,1100502,Novo Horizonte do Oeste,RO,2,1,0,0
2016,1100502,Novo Horizonte do Oeste,RO,1,0,1,0
2018,1100502,Novo Horizonte do Oeste,RO,1,0,0,0
2019,1100502,Novo Horizonte do Oeste,RO,5,2,0,0
2015,1100601,Cacaulândia,RO,1,1,1,0
2016,1100601,Cacaulândia,RO,2,2,1,0
2017,1100601,Cacaulândia,RO,2,1,0,0
2018,1100601,Cacaulândia,RO,2,0,0,0
2011,1100700,Campo Novo de Rondônia,RO,1,1,0,0
2013,1100700,Campo Novo de Rondônia,RO,2,1,0,0
2014,1100700,Campo Novo de Rondônia,RO,3,3,0,0
2015,1100700,Campo Novo de Rondônia,RO,2,0,2,0
2016,1100700,Campo Novo de Rondônia,RO,2,1,0,0
2018,1100700,Campo Novo de Rondônia,RO,11,6,3,0
2019,1100700,Campo Novo de Rondônia,RO,12,8,0,0
2011,1100809,Candeias do Jamari,RO,3,2,1,0
2012,1100809,Candeias do Jamari,RO,4,3,2,0
2014,1100809,Candeias do Jamari,RO,8,8,1,1
2015,1100809,Candeias do Jamari,RO,4,2,1,0
2016,1100809,Candeias do Jamari,RO,6,2,0,0
2017,1100809,Candeias do Jamari,RO,21,7,3,0
2018,1100809,Candeias do Jamari,RO,19,10,0,1
2019,1100809,Candeias do Jamari,RO,7,3,1,0
2015,1100908,Castanheiras,RO,1,0,0,0
2017,1100908,Castanheiras,RO,3,3,2,0
2018,1100908,Castanheiras,RO,7,5,0,0
2012,1100924,Chupinguaia,RO,3,2,0,1
2014,1100924,Chupinguaia,RO,9,7,3,1
2015,1100924,Chupinguaia,RO,3,1,0,0
2017,1100924,Chupinguaia,RO,4,3,3,1
2018,1100924,Chupinguaia,RO,2,1,1,1
2019,1100924,Chupinguaia,RO,5,3,1,1
2011,1100940,Cujubim,RO,6,5,2,0
2012,1100940,Cujubim,RO,1,1,0,0
2013,1100940,Cujubim,RO,4,2,0,0
2014,1100940,Cujubim,RO,23,22,6,3
2015,1100940,Cujubim,RO,15,11,5,3
2016,1100940,Cujubim,RO,6,5,4,1
2017,1100940,Cujubim,RO,12,11,4,2
2018,1100940,Cujubim,RO,11,10,2,2
2019,1100940,Cujubim,RO,6,5,2,2
2011,1101005,Governador Jorge Teixeira,RO,3,3,3,0
2012,1101005,Governador Jorge Teixeira,RO,4,1,2,0
2013,1101005,Governador Jorge Teixeira,RO,3,0,0,0
2014,1101005,Governador Jorge Teixeira,RO,1,1,1,0
2015,1101005,Governador Jorge Teixeira,RO,1,1,0,0
2016,1101005,Governador Jorge Teixeira,RO,1,1,1,0
2017,1101005,Governador Jorge Teixeira,RO,6,5,0,0
2018,1101005,Governador Jorge Teixeira,RO,2,2,0,2
2009,1101104,Itapuã do Oeste,RO,1,0,0,0
2011,1101104,Itapuã do Oeste,RO,1,0,1,0
2012,1101104,Itapuã do Oeste,RO,5,4,2,2
2013,1101104,Itapuã do Oeste,RO,7,6,1,2
2014,1101104,Itapuã do Oeste,RO,3,2,0,0
2015,1101104,Itapuã do Oeste,RO,1,1,0,0
2016,1101104,Itapuã do Oeste,RO,2,2,0,0
2017,1101104,Itapuã do Oeste,RO,6,4,1,0
2018,1101104,Itapuã do Oeste,RO,6,3,1,0
2019,1101104,Itapuã do Oeste,RO,1,1,1,1
2012,1101203,Ministro Andreazza,RO,1,0,0,0
2013,1101203,Ministro Andreazza,RO,3,2,1,2
2014,1101203,Ministro Andreazza,RO,1,1,1,1
2015,1101203,Ministro Andreazza,RO,2,1,0,0
2017,1101203,Ministro Andreazza,RO,1,0,0,0
2019,1101203,Ministro Andreazza,RO,3,1,0,0
2014,1101302,Mirante da Serra,RO,1,1,0,0
2015,1101302,Mirante da Serra,RO,1,1,0,0
2016,1101302,Mirante da Serra,RO,2,2,2,0
2017,1101302,Mirante da Serra,RO,2,1,1,0
2018,1101302,Mirante da Serra,RO,3,2,1,0
2019,1101302,Mirante da Serra,RO,26,20,4,0
2011,1101401,Monte Negro,RO,2,2,0,2
2012,1101401,Monte Negro,RO,5,4,0,0
2013,1101401,Monte Negro,RO,3,3,1,0
2014,1101401,Monte Negro,RO,8,8,3,1
2015,1101401,Monte Negro,RO,3,3,1,1
2016,1101401,Monte Negro,RO,2,2,2,0
2017,1101401,Monte Negro,RO,18,14,2,2
2018,1101401,Monte Negro,RO,16,13,2,3
2019,1101401,Monte Negro,RO,26,14,1,1
2011,1101435,Nova União,RO,1,1,0,0
2014,1101435,Nova União,RO,2,0,0,0
2015,1101435,Nova União,RO,4,1,0,0
2016,1101435,Nova União,RO,12,11,6,0
2017,1101435,Nova União,RO,3,1,0,0
2018,1101435,Nova União,RO,1,1,0,0
2019,1101435,Nova União,RO,11,10,0,0
2014,1101450,Parecis,RO,2,2,0,0
2015,1101450,Parecis,RO,3,2,0,0
2016,1101450,Parecis,RO,1,1,0,0
2017,1101450,Parecis,RO,8,6,1,0
2018,1101450,Parecis,RO,2,0,0,0
2013,1101468,Pimenteiras do Oeste,RO,1,1,0,0
2014,1101468,Pimenteiras do Oeste,RO,4,3,2,0
2015,1101468,Pimenteiras do Oeste,RO,1,1,0,1
2018,1101468,Pimenteiras do Oeste,RO,2,2,1,0
2011,1101476,Primavera de Rondônia,RO,2,2,1,0
2013,1101476,Primavera de Rondônia,RO,5,5,0,0
2015,1101476,Primavera de Rondônia,RO,2,2,0,0
2016,1101476,Primavera de Rondônia,RO,5,3,2,0
2018,1101476,Primavera de Rondônia,RO,3,3,0,0
2019,1101476,Primavera de Rondônia,RO,6,4,1,0
2017,1101484,São Felipe D'Oeste,RO,3,1,0,0
2018,1101484,São Felipe D'Oeste,RO,4,4,0,0
2019,1101484,São Felipe D'Oeste,RO,1,1,0,0
2015,1101492,São Francisco do Guaporé,RO,2,2,0,0
2016,1101492,São Francisco do Guaporé,RO,41,39,0,0
2017,1101492,São Francisco do Guaporé,RO,30,27,1,0
2018,1101492,São Francisco do Guaporé,RO,28,27,0,0
