tempo_relativo,efeito,se,ci_lower,ci_upper,periodo
-9,-5.100190202429149,2.8527153088588633,-10.473795344011538,0.45415025348390925,pré
-8,-8.282130319388214,4.5039060059281235,-17.216999158138776,0.05048118578942305,pré
-7,-10.501417708761565,11.339717673804332,-32.25419813304813,11.15626147786295,pré
-6,-9.76934415129168,7.790097761927495,-24.64525042364003,5.556265918307361,pré
-5,-2.856894786509385,8.182028841840777,-18.539758818108353,13.64971572532911,pré
-4,4.141299421052288,7.842877994244784,-9.853744312717748,18.30211156675348,pré
-3,-23.278376131484258,12.451696156908135,-45.38794576518827,-2.2423844449866257,pré
-2,1.8186648710361202,7.2722836261858586,-11.411752731510884,15.607067397031374,pré
-1,-0.7919580428289168,6.690911390316159,-13.429750226074031,11.61221783877341,pré
0,-9.06653746528286,6.505784092508417,-21.143158319649125,3.5246049745435997,pós
1,-5.786551422075545,8.372814833419934,-22.200925742776132,10.149785065934976,pós
2,-16.836766386070806,7.254442268710604,-31.767097089162725,-3.312821696648707,pós
3,-29.06319377993915,9.743797330716196,-48.54749877502614,-10.899477941413634,pós
4,-26.759629053502966,10.117966803549631,-46.34540553760696,-7.191322939881095,pós
5,-24.136445606923466,12.80012427784445,-48.08965174388519,1.4960868060356223,pós
6,-32.19173606200451,20.02204335006298,-68.52529631889234,6.3315322381911185,pós
7,-17.11904792135764,22.489208065056545,-60.044382066725525,27.508935747286316,pós
8,-38.89174271255061,13.902291557621504,-64.60423955334458,-12.489118602829105,pós
